study,report,authors,crop,p_dependency,farm_size,habitat,agr_intensity,distance_m,distance_measure,abundance_all,abundance_wild,sites,location,pollinator,sampling_effort,sampling_method,sampling_time_min,total_sampling_time_min,source
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,0,reported,10,10,16,PH_1_R_9,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,130,reported,2,2,16,PH_1A_R_12,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,0,reported,1,1,16,PH_1A_R_11,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,150,reported,25,25,16,PH_1A_R_14,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,0,reported,1,1,16,PH_1A_R_13,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,125,reported,28,28,16,PH_1A_R_16,Bees,4,active,15,60,corresponding author(s)
Hass,Hass,Hass et al. 2018,rice,None or unknown (0%) ,NA,agroforests,high,0,reported,22,22,16,PH_1A_R_15,Bees,4,active,15,60,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,112,reported,89,11,28,1,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,366,reported,78,20,28,2,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,644,reported,156,18,28,3,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,876,reported,119,18,28,4,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,316,reported,188,16,28,5,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,960,reported,145,32,28,6,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,1610,reported,95,21,28,7,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,2028,reported,48,21,28,8,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,2800,reported,76,9,28,9,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,3342,reported,232,31,28,10,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,2299,reported,286,53,28,11,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,4017,reported,182,12,28,12,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,5183,reported,384,30,28,13,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,6799,reported,147,11,28,14,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,60,reported,62,19,28,15,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,366,reported,172,79,28,16,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,466,reported,212,32,28,17,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,720,reported,236,52,28,18,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,1475,reported,183,57,28,19,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,1814,reported,141,61,28,20,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,2456,reported,218,10,28,21,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,3625,reported,118,20,28,22,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,4403,reported,37,13,28,23,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,5019,reported,94,23,28,24,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,5824,reported,265,14,28,25,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,6715,reported,130,24,28,26,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,7700,reported,120,22,28,27,Bees,8,active,25,200,corresponding author(s)
Kasina,Kasina,Kasina et al. 2009,dry common bean,Modest (10-40%),Small (<2ha),forest,low,8721,reported,89,16,28,28,Bees,8,active,25,200,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1500,reported,11,11,24,area 24,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1500,reported,14,14,24,area 13,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,600,reported,19,19,24,area 17,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,2000,reported,21,21,24,area 4,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,0,reported,29,29,24,area 16,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,500,reported,44,44,24,area 23,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,500,reported,58,58,24,area 6,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,600,reported,68,68,24,area 20,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1500,reported,79,79,24,area 14,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1000,reported,84,84,24,area 5,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,0,reported,94,94,24,area 9,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,2500,reported,97,97,24,area 3,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,0,reported,118,118,24,area 19,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,500,reported,124,124,24,area 18,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1000,reported,125,125,24,area 15,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,0,reported,127,127,24,area 10,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,100,reported,132,132,24,area 7,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,100,reported,136,136,24,area 1,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,10,reported,145,145,24,area 21,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,50,reported,147,147,24,area 11,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,800,reported,148,148,24,area 12,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1500,reported,161,161,24,area 22,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1000,reported,169,169,24,area 8,Bees,3,active,25,75,corresponding author(s)
Klein(a),Klein(a),Klein et al. 2003 a),coffee arabica,Modest (10-40%),NA,forest,low,1500,reported,171,171,24,area 2,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,1500,reported,66,66,15,area 14,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,1500,reported,85,85,15,area 24,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,0,reported,105,105,15,area 16,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,500,reported,123,123,15,area 23,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,1000,reported,133,133,15,area 8,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,500,reported,136,136,15,area 18,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,500,reported,142,142,15,area 6,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,0,reported,145,145,15,area 19,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,800,reported,159,159,15,area 12,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,0,reported,162,162,15,area 10,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,100,reported,177,177,15,area 7,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,0,reported,194,194,15,area 9,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,100,reported,237,237,15,area 1,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,600,reported,239,239,15,area 20,Bees,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,rainforest,low,10,reported,240,240,15,area 21,Bees,3,active,25,75,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,1005,reported,41,41,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,180,reported,53,53,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,462.5,reported,66,66,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,357.5,reported,73,73,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,945,reported,88,88,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,1415,reported,88,88,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,280,reported,90,90,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,160,reported,109,109,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,317.5,reported,121,121,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,147.5,reported,133,133,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,207.5,reported,140,140,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,45,reported,141,141,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,575,reported,143,143,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,402.5,reported,157,157,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,880,reported,162,162,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,107.5,reported,166,166,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,0,reported,190,190,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,597.5,reported,194,194,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,20,reported,215,215,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,327.5,reported,233,233,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,85,reported,289,289,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,180,reported,292,292,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,52.5,reported,363,363,24,NA,Bees,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,forest,low,0,reported,420,420,24,NA,Bees,5,active,30,150,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,be,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,0,0,35,chl,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,0,0,35,chs,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,0,0,35,chs,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,chs,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,0,0,35,has,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,0,0,35,beg,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,50,reported,0,0,35,harkas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,100,reported,0,0,35,harkas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,0,0,35,ichbha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,0,0,35,ichbha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,0,0,35,kon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,0,0,35,kutnan,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,0,0,35,kutnan,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,kutnan,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,0,0,35,kutnan,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,nit,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,0,0,35,porpon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,0,0,35,porpon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,tshgov,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,0,0,35,tshogr,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,0,0,35,maimannew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,2,2,35,hardha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,2,0,35,harkas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,2,2,35,kon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,2,0,35,porpon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,2,2,35,tshogr,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,50,reported,2,2,35,maibatnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,3,3,35,has,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,3,3,35,kap,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,3,3,35,kap,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,3,3,35,porpon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,3,3,35,tshogr,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,250,reported,3,2,35,tshogr,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,0,reported,3,3,35,maibatnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,5,5,35,chl,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,50,reported,5,0,35,hardha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,5,5,35,harkas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,5,2,35,nit,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,5,4,35,maibatnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,6,6,35,dhm,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,7,7,35,kis,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,7,4,35,devtatnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,7,6,35,maimannew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,250,reported,8,7,35,bas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,8,8,35,bas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,8,0,35,chl,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,0,reported,8,8,35,harkas,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,8,5,35,ichbha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,8,0,35,kon,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,8,8,35,kottageri,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,8,3,35,kottolinew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,10,10,35,baso,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,10,10,35,ichbha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,11,5,35,maibatnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest,NA,0,reported,12,8,35,hardha,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,12,3,35,tshogr,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,13,13,35,chs,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,13,12,35,maimannew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,100,reported,14,2,35,kottolinew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,14,12,35,maimalnew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,14,7,35,maimannew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,500,reported,15,13,35,kil,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,16,4,35,maimannew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,50,reported,17,17,35,dhm,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,19,18,35,deviyynew,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,250,reported,20,20,35,chs,Bees,1,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest,NA,0,reported,20,17,35,kap,Bees,1,active,15,75,corresponding author(s)
