study,report,authors,crop,p_dependency,farm_size,habitat_description,habitat,agr_intensity,distance_m,distance_measure,proportion,radius,richness_all,richness_wild,sites,location,pollinator,taxonomic_resolution,study_design,repeat_measures,sampling_method,sampling_time_min,total_sampling_time_min,source
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,natural rainforest,natural forest,low,0,reported,NA,NA,11,11,15,area 19,Bees,morphospecies,single distance per site,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,natural rainforest,natural forest,low,600,reported,NA,NA,15,15,15,area 20,Bees,morphospecies,single distance per site,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,natural rainforest,natural forest,low,10,reported,NA,NA,15,15,15,area 21,Bees,morphospecies,single distance per site,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,natural rainforest,natural forest,low,500,reported,NA,NA,9,9,15,area 23,Bees,morphospecies,single distance per site,3,active,25,75,corresponding author(s)
Klein(b),Klein(b),Klein et al. 2003 b),coffee canephora,Great (40-90%),NA,natural rainforest,natural forest,low,1500,reported,NA,NA,6,6,15,area 24,Bees,morphospecies,single distance per site,3,active,25,75,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,52.5,reported,NA,NA,25,25,24,site1,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,945,reported,NA,NA,16,16,24,site2,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,1415,reported,NA,NA,11,11,24,site3,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,1005,reported,NA,NA,4,4,24,site4,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,575,reported,NA,NA,12,12,24,site5,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,207.5,reported,NA,NA,11,11,24,site6,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,180,reported,NA,NA,23,23,24,site7,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,327.5,reported,NA,NA,15,15,24,site8,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,85,reported,NA,NA,21,21,24,site9,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,0,reported,NA,NA,37,37,24,site10,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,45,reported,NA,NA,17,17,24,site11,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,147.5,reported,NA,NA,12,12,24,site12,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,357.5,reported,NA,NA,8,8,24,site13,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,880,reported,NA,NA,12,12,24,site14,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,402.5,reported,NA,NA,12,12,24,site15,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,0,reported,NA,NA,15,15,24,site16,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,180,reported,NA,NA,9,9,24,site17,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,107.5,reported,NA,NA,17,17,24,site18,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,280,reported,NA,NA,15,15,24,site19,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,317.5,reported,NA,NA,15,15,24,site20,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,20,reported,NA,NA,22,22,24,site21,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,597.5,reported,NA,NA,16,16,24,site22,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,160,reported,NA,NA,12,12,24,site23,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Klein(c),Klein(c),Klein 2009,NA,NA,NA,natural rainforest,natural forest,low,462.5,reported,NA,NA,8,8,24,site24,Bees,morphospecies,single distance per site,5,active,30,150,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,3,NA,35,bas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,2,NA,35,bas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,3,NA,35,bas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,3,NA,35,bas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,1,NA,35,bas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,3,NA,35,baso,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,5,NA,35,baso,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,2,NA,35,baso,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,0,NA,35,be,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,4,NA,35,chl,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,1,NA,35,chl,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,3,NA,35,chl,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,0,NA,35,chl,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,0,NA,35,chs,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,0,NA,35,chs,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,0,NA,35,chs,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,2,NA,35,chs,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,2,NA,35,chs,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,5,NA,35,devpur,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,3,NA,35,devpur,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,4,NA,35,devpur,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,3,NA,35,devpur,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,6,NA,35,devpur,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,3,NA,35,dhm,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,3,NA,35,dhm,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,2,NA,35,dhm,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,3,NA,35,dhm,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,6,NA,35,dhm,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,2,NA,35,hal,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,7,NA,35,hal,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,3,NA,35,has,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,2,NA,35,has,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,3,NA,35,has,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,0,NA,35,has,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,2,NA,35,has,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,4,NA,35,kap,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,1,NA,35,kap,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,2,NA,35,kap,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,4,NA,35,kap,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,4,NA,35,kap,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,7,NA,35,kil,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,4,NA,35,kil,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,2,NA,35,kil,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,4,NA,35,kil,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,4,NA,35,kil,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,1,NA,35,kis,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,3,NA,35,kis,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,3,NA,35,kis,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,0,NA,35,beg,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,3,NA,35,beg,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,4,NA,35,hardha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,1,NA,35,hardha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,1,NA,35,hardha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,1,NA,35,harkas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,0,NA,35,harkas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Small (<2ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,0,NA,35,harkas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,1,NA,35,harkas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,1,NA,35,harkas,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,2,NA,35,ichbha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,2,NA,35,ichbha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,4,NA,35,ichbha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,0,NA,35,ichbha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,0,NA,35,ichbha,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,1,NA,35,kon,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,0,NA,35,kon,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,1,NA,35,kon,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,3,NA,35,kottageri,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,2,NA,35,kottageri,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,1,NA,35,kottageri,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,0,reported,NA,NA,0,NA,35,kutnan,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,0,NA,35,kutnan,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,100,reported,NA,NA,0,NA,35,kutnan,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,0,NA,35,kutnan,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,250,reported,NA,NA,1,NA,35,nal,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,500,reported,NA,NA,4,NA,35,nal,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
Krishnan,Krishnan,Krishnan et al. 2012,coffee,Great (40-90%),Medium (2-15ha),forest (forest fragments rangng in size from 0.3 to 20 ha and some officially protected forests >200ha),natural forest,NA,50,reported,NA,NA,2,NA,35,nit,Bees,morphospecies,nested design,5,active,15,75,corresponding author(s)
